dataset_short_name,model,level,f1_mean,f1_std,f1_rank
p2p/0.2,MP-Former (Offline),combined,0.18716179986054768,0.17621851295738078,1.0
p2p/0.2,MP-Former (Online),combined,0.15567467459936254,0.14040521710407025,2.0
p2p/0.25,COMB (1),combined,0.13536442018406125,0.14031498790414715,3.5
p2p/0.25,COMB (20),combined,0.13536442018406125,0.14031498790414715,3.5
p2p/0.25,MP-Former (Offline),combined,0.20225778611787568,0.1851097891954049,1.0
p2p/0.25,MP-Former (Online),combined,0.18547071532049342,0.16776832187275156,2.0
p2p/0.3,COMB (1),combined,0.16257917158201682,0.17317537964773855,3.5
p2p/0.3,COMB (20),combined,0.16257917158201682,0.17317537964773855,3.5
p2p/0.3,MP-Former (Offline),combined,0.21010482925013205,0.20034564540901736,1.0
p2p/0.3,MP-Former (Online),combined,0.19346648861302584,0.1816391226150086,2.0
p2p/0.35,COMB (1),combined,0.19133348781777945,0.1899181408713756,3.5
p2p/0.35,COMB (20),combined,0.19133348781777945,0.1899181408713756,3.5
p2p/0.35,MP-Former (Offline),combined,0.21424078122657733,0.19486417265310021,1.0
p2p/0.35,MP-Former (Online),combined,0.201738810383551,0.18283337884753398,2.0
p2p/0.4,COMB (1),combined,0.2065574090118689,0.20869420193220628,3.5
p2p/0.4,COMB (20),combined,0.2065574090118689,0.20869420193220628,3.5
p2p/0.4,MP-Former (Offline),combined,0.23704799988711686,0.22220788170298308,1.0
p2p/0.4,MP-Former (Online),combined,0.22422126193119693,0.21135283491261622,2.0
p2p/0.45,COMB (1),combined,0.24069884587322463,0.2339505748180213,2.5
p2p/0.45,COMB (20),combined,0.24069884587322463,0.2339505748180213,2.5
p2p/0.45,MP-Former (Offline),combined,0.24573036446092733,0.22253098847840141,1.0
p2p/0.45,MP-Former (Online),combined,0.22611215504278576,0.2032815887857104,4.0
